Avocat, pulpe, cru;155;638;75,7;1,61;3,67;13,8;1;2,1;4;2,17;7,67;< 0,5;0,063;11,2;< 10;0,25;0,34;< 10;25,2;0,24;44,4;343;< 2,58;25;0,46;0;60;0;1,77;14,5;-;4,07;0,05;0,13;1,2;0,77;0,12;79,9;0
Bette ou blette, crue;12,3;50,9;95,4;1;0,5;< 0,5;0,5;< 0,35;1,8;< 0,01;< 0,01;0;0,57;25;221;0,03;0,85;< 20;17;0,16;10;300;< 20;53,2;0,07;0;25,9;< 0,25;0,25;< 0,8;-;3,08;< 0,015;0,015;< 0,1;0,2;0,036;24,7;0
Carotte, crue;36,4;153;89,6;0,77;6,45;0,26;5,42;0,8;2,7;0,054;0,01;0;0,098;32,6;61;0,041;0,31;< 5;11,3;0,25;32,7;301;0,17;39;0,22;0;8290;0;0,61;13,8;-;5,84;0,054;0,047;0,99;0,28;0,13;32,3;0
Champignon, tout type, cru;21,6;90,8;92,6;2,34;1,88;0,23;1,43;0;1,72;0,055;0,003;0;0,012;7,78;-;0,32;0,69;1;10,9;0,061;85,6;341;< 2,78;4,76;0,65;0;0;0,2;0,01;0;-;3,4;0,084;0,42;4,55;1,75;0,082;29;0
Salade ou chicor‚e fris‚e, crue;22,7;94,9;92,9;1,48;2,4;0,25;0,7;-;2,45;0,061;0,005;0;0,077;76;-;0,2;0,85;0,4;22,5;0,42;37,5;367;1;33,5;0,61;0;3430;0;2,26;298;-;18,5;0,07;0,088;0,45;1,03;0,063;126;0
Chou rouge, cru;29,1;122;90,7;1,34;4,5;0,18;3,49;0;2,05;0,03;0,012;0;0,047;44,8;-;0,024;0,63;0,1;15;0,22;32,1;268;1;18,5;0,21;0;670;0;0,09;93,6;-;58,5;0,065;0,06;0,51;0,24;0,18;32;0
Chou-fleur, cru;23;96,3;92,9;1,77;2,05;0,31;1,56;0,3;2,13;0,088;0,03;0;0,0092;26,4;-;0,033;0,41;0,8;11,9;0,16;46,1;293;< 2,2;3,69;0,26;0;0;0;0,14;15,8;-;56,6;0,054;0,067;0,55;0,63;0,16;111;0
Concombre, pulpe et peau, cru;13,6;57,4;96;0,64;2,04;0,11;1,34;0,67;0,6;0,035;0,004;0;0,012;19,2;-;0,026;0,13;0,3;13,6;0,085;24,7;157;< 10;4,8;0,095;0;45;0;0,09;16,4;-;8,25;0,022;0,025;0,15;0,28;0,037;12,3;0
Courgette, pulpe et peau, crue;16,5;69,2;94,7;1,22;1,8;0,26;1,79;0;1,05;0,061;0,013;0;0,017;18,7;-;0,052;0,36;1,64;17,5;0,18;44,7;262;0,58;9;0,31;0;120;0;0,12;4,3;-;17,5;0,047;0,12;0,47;0,18;0,19;36;0
Cresson de fontaine, cru;14,9;62,6;94,6;2,06;0,9;0,15;0,2;-;0,85;0,027;0,008;0;0,13;101;-;0,11;0,9;13,5;19;0,37;64,2;320;-;50,5;0,16;0;1910;0;1;250;-;51,5;0,095;0,11;0,4;0,21;0,13;9;0
C‚leri branche, cru;21,5;90,5;94,2;0,66;3,6;0,19;1,27;0;1,6;0,04;0,03;0;0,2;48,4;-;0,073;0,3;1,1;9,5;0,1;27,1;289;0,046;71;0,12;0;270;0;0,24;29,3;-;6,05;0,028;0,066;0,39;0,32;0,082;32;0
Endive, crue;20,8;87,7;95,5;1,1;3,15;0,2;2,2;< 0,5;1;0,034;0,0033;0;0,005;23,9;-;0,051;0,14;< 10;12,6;0,098;24;185;< 10;1,99;0,19;0;< 50;0;0,27;231;-;1,5;< 0,05;< 0,05;0,13;0,14;< 0,05;44,1;0
Fenouil, cru;20;83,7;92;1,14;2,3;0,2;2,21;0,092;2,23;0,046;0,033;0;0,074;39,6;-;0,066;0,53;0,5;14;0,19;44,4;405;-;39,5;0,21;0;578;0;0,58;62,8;-;10,5;0,02;0,071;0,42;0,23;0,053;28,5;0
Laitue, crue;15,1;63,2;95,3;1,3;1,33;0,2;0,73;0;1,2;0,021;0,0067;0;0,021;64,6;-;0,036;0,98;1,22;14,9;0,4;29,5;200;2,33;8,47;0,2;0;3640;0;0,18;123;-;11,8;0,067;0,077;0,36;0,14;0,09;43,5;0
Oignon, cru;39;164;89,6;1,1;6,25;0,62;4,8;< 0,5;1,7;0,2;0,021;0;0,098;25;61;< 0,0001;0,00019;< 10;9;0,1;37;190;2,3;39;0,23;0;< 50;0;0,045;0,35;-;3,9;< 0,05;< 0,05;< 0,05;0,15;0,1;29,6;0
Pissenlit, cru;48,8;205;85,3;2,84;6,1;0,85;0,71;-;2,7;0,17;0,014;0;0,22;62,3;-;0,067;3,1;0,4;13,2;0,16;66;397;< 2,2;87,8;0,21;0;5850;0;3,44;778;-;37,5;0,19;0,2;0,8;0,084;0,25;27;0
